Agent ID :,AR02-01-I
Agent Name:,Raphael Marques
DoB:,06/03/76
Occupation:,Programmer / Computer Scientist / Inventor
Income (monthly) :,"£2,500.00"
Savings :,"£5,400.00"
,
,
Physical Baseline:,0
Strength,0
Endurance,10
Build,0
Dexterity,20
Speed,5
Reflex,5
,
Mental Baseline:,10
Cool:,20
Intelligence:,40
Loyalty:,5
Memory:,15
Creativity:,30
Instinct:,20
Negotiate:,20
Knowledge:,40
Empathy:,20watch jeremy kyle complete episodes free online
Compassion:,10
,
Gloaming Related:,5
Sensitivity:,10
Persistence:,3
Extent:,20
Intuition:,30
Acceptance:,50
,
Skills:,
Programming:,50
Cracking:,15
Social Engineering:,30
,
,
Faction Loyalties:,Independent
,
,
,
,
Equipment:,Control suite
,MiniCom 
,Monocular
,Rucksack
,Multitool
,
Clothing (general) :,Leather jacket (black)
,Jeans (black)
,Boots
,T-shirt
,
Residence:,"Flat, 75B Kilmorie Rd, London"
